

inf-power
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
20  Proposed     10         2  31.824818  28.702535  39.443450  34.072993
32  Proposed     10         3  33.284672  28.702535  39.443450  34.072993
44  Proposed     10         4  37.956204  28.702535  39.443450  34.072993
56  Proposed     10         5  38.832117  28.702535  39.443450  34.072993
9   Proposed     15         1  10.802920   7.882521  19.212370  13.547445
21  Proposed     15         2  19.124088   7.882521  19.212370  13.547445
33  Proposed     15         3   9.197080   7.882521  19.212370  13.547445
45  Proposed     15         4  17.810219   7.882521  19.212370  13.547445
57  Proposed     15         5  10.802920   7.882521  19.212370  13.547445
10  Proposed     20         1   6.861314   5.334857   8.095800   6.715328
22  Proposed     20         2   5.985401   5.334857   8.095800   6.715328
34  Proposed     20         3   8.029197   5.334857   8.095800   6.715328
46  Proposed     20         4   5.255474   5.334857   8.095800   6.715328
58  Proposed     20         5   7.445255   5.334857   8.095800   6.715328
11  Proposed     25         1   3.357664   3.433133   5.034020   4.233577
23  Proposed     25         2   5.109489   3.433133   5.034020   4.233577
35  Proposed     25         3   4.087591   3.433133   5.034020   4.233577
47  Proposed     25         4   4.087591   3.433133   5.034020   4.233577
59  Proposed     25         5   4.525547   3.433133   5.034020   4.233577

socfb-Bowdoin47
        type  noise iteration    accuracy   ci_lower   ci_upper    avg acc
0   Original      0         1   99.733570  99.756763  99.941283  99.849023
12  Original      0         2   99.822380  99.756763  99.941283  99.849023
24  Original      0         3   99.911190  99.756763  99.941283  99.849023
36  Original      0         4   99.911190  99.756763  99.941283  99.849023
48  Original      0         5   99.866785  99.756763  99.941283  99.849023
1   Original      5         1   85.301954  83.842463  85.962155  84.902309
13  Original      5         2   83.880995  83.842463  85.962155  84.902309
25  Original      5         3   85.968028  83.842463  85.962155  84.902309
37  Original      5         4   85.168739  83.842463  85.962155  84.902309
49  Original      5         5   84.191829  83.842463  85.962155  84.902309
2   Original     10         1   63.898757  62.778713  64.379369  63.579041
14  Original     10         2   63.188277  62.778713  64.379369  63.579041
26  Original     10         3   63.410302  62.778713  64.379369  63.579041
38  Original     10         4   64.520426  62.778713  64.379369  63.579041
50  Original     10         5   62.877442  62.778713  64.379369  63.579041
3   Original     15         1   43.428064  40.051378  46.112032  43.081705
15  Original     15         2   42.406750  40.051378  46.112032  43.081705
27  Original     15         3   46.936057  40.051378  46.112032  43.081705
39  Original     15         4   42.362345  40.051378  46.112032  43.081705
51  Original     15         5   40.275311  40.051378  46.112032  43.081705
4   Original     20         1   28.907638  27.131557  30.044286  28.587922
16  Original     20         2   29.262877  27.131557  30.044286  28.587922
28  Original     20         3   27.087034  27.131557  30.044286  28.587922
40  Original     20         4   27.708703  27.131557  30.044286  28.587922
52  Original     20         5   29.973357  27.131557  30.044286  28.587922
5   Original     25         1   18.516874  18.436117  21.119833  19.777975
17  Original     25         2   19.404973  18.436117  21.119833  19.777975
29  Original     25         3   21.225577  18.436117  21.119833  19.777975
41  Original     25         4   19.227353  18.436117  21.119833  19.777975
53  Original     25         5   20.515098  18.436117  21.119833  19.777975
6   Proposed      0         1   99.822380  99.705246  99.992800  99.849023
18  Proposed      0         2  100.000000  99.705246  99.992800  99.849023
30  Proposed      0         3   99.822380  99.705246  99.992800  99.849023
42  Proposed      0         4   99.911190  99.705246  99.992800  99.849023
54  Proposed      0         5   99.689165  99.705246  99.992800  99.849023
7   Proposed      5         1   94.493783  93.725253  95.031408  94.378330
19  Proposed      5         2   93.561279  93.725253  95.031408  94.378330
31  Proposed      5         3   95.026643  93.725253  95.031408  94.378330
43  Proposed      5         4   94.449378  93.725253  95.031408  94.378330
55  Proposed      5         5   94.360568  93.725253  95.031408  94.378330
8   Proposed     10         1   67.051510  65.018028  68.321226  66.669627
20  Proposed     10         2   66.829485  65.018028  68.321226  66.669627
32  Proposed     10         3   66.385435  65.018028  68.321226  66.669627
44  Proposed     10         4   68.383659  65.018028  68.321226  66.669627
56  Proposed     10         5   64.698046  65.018028  68.321226  66.669627
9   Proposed     15         1   38.543517  34.254421  37.805970  36.030195
21  Proposed     15         2   35.746004  34.254421  37.805970  36.030195
33  Proposed     15         3   35.568384  34.254421  37.805970  36.030195
45  Proposed     15         4   35.213144  34.254421  37.805970  36.030195
57  Proposed     15         5   35.079929  34.254421  37.805970  36.030195
10  Proposed     20         1   20.959147  18.108374  22.015960  20.062167
22  Proposed     20         2   19.049734  18.108374  22.015960  20.062167
34  Proposed     20         3   20.337478  18.108374  22.015960  20.062167
46  Proposed     20         4   17.984014  18.108374  22.015960  20.062167
58  Proposed     20         5   21.980462  18.108374  22.015960  20.062167
11  Proposed     25         1   10.834813   9.639011  12.439141  11.039076
23  Proposed     25         2    9.946714   9.639011  12.439141  11.039076
35  Proposed     25         3   12.255773   9.639011  12.439141  11.039076
47  Proposed     25         4    9.991119   9.639011  12.439141  11.039076
59  Proposed     25         5   12.166963   9.639011  12.439141  11.039076

bio-yeast
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
0   Original      0         1  69.684499  69.759303  70.954003  70.356653
12  Original      0         2  70.096022  69.759303  70.954003  70.356653
24  Original      0         3  70.919067  69.759303  70.954003  70.356653
36  Original      0         4  70.644719  69.759303  70.954003  70.356653
48  Original      0         5  70.438957  69.759303  70.954003  70.356653
1   Original      5         1  57.818930  56.229303  59.710341  57.969822
13  Original      5         2  60.219479  56.229303  59.710341  57.969822
25  Original      5         3  57.475995  56.229303  59.710341  57.969822
37  Original      5         4  56.378601  56.229303  59.710341  57.969822
49  Original      5         5  57.956104  56.229303  59.710341  57.969822
2   Original     10         1  48.834019  45.002970  49.647236  47.325103
14  Original     10         2  46.570645  45.002970  49.647236  47.325103
26  Original     10         3  46.844993  45.002970  49.647236  47.325103
38  Original     10         4  49.519890  45.002970  49.647236  47.325103
50  Original     10         5  44.855967  45.002970  49.647236  47.325103
3   Original     15         1  38.340192  34.239275  39.670190  36.954733
15  Original     15         2  34.773663  34.239275  39.670190  36.954733
27  Original     15         3  39.780521  34.239275  39.670190  36.954733
39  Original     15         4  34.842250  34.239275  39.670190  36.954733
51  Original     15         5  37.037037  34.239275  39.670190  36.954733
4   Original     20         1  30.109739  23.816297  31.300301  27.558299
16  Original     20         2  22.770919  23.816297  31.300301  27.558299
28  Original     20         3  29.835391  23.816297  31.300301  27.558299
40  Original     20         4  26.611797  23.816297  31.300301  27.558299
52  Original     20         5  28.463649  23.816297  31.300301  27.558299
5   Original     25         1  21.810700  20.557542  25.121470  22.839506
17  Original     25         2  22.908093  20.557542  25.121470  22.839506
29  Original     25         3  20.507545  20.557542  25.121470  22.839506
41  Original     25         4  25.377229  20.557542  25.121470  22.839506
53  Original     25         5  23.593964  20.557542  25.121470  22.839506
6   Proposed      0         1  69.547325  68.690266  70.953081  69.821674
18  Proposed      0         2  69.204390  68.690266  70.953081  69.821674
30  Proposed      0         3  69.067215  68.690266  70.953081  69.821674
42  Proposed      0         4  71.330590  68.690266  70.953081  69.821674
54  Proposed      0         5  69.958848  68.690266  70.953081  69.821674
7   Proposed      5         1  62.208505  59.764099  63.336039  61.550069
19  Proposed      5         2  62.277092  59.764099  63.336039  61.550069
31  Proposed      5         3  63.100137  59.764099  63.336039  61.550069
43  Proposed      5         4  59.533608  59.764099  63.336039  61.550069
55  Proposed      5         5  60.631001  59.764099  63.336039  61.550069
8   Proposed     10         1  50.548697  48.114891  53.339156  50.727023
20  Proposed     10         2  49.725652  48.114891  53.339156  50.727023
32  Proposed     10         3  51.097394  48.114891  53.339156  50.727023
44  Proposed     10         4  53.978052  48.114891  53.339156  50.727023
56  Proposed     10         5  48.285322  48.114891  53.339156  50.727023
9   Proposed     15         1  40.672154  37.629370  42.151151  39.890261
21  Proposed     15         2  40.809328  37.629370  42.151151  39.890261
33  Proposed     15         3  41.838134  37.629370  42.151151  39.890261
45  Proposed     15         4  37.242798  37.629370  42.151151  39.890261
