

inf-power
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
41  Original     25         4   0.145985   0.064208   0.461339   0.262774
53  Original     25         5   0.145985   0.064208   0.461339   0.262774
6   Proposed      0         1  98.248175  97.652133  99.428159  98.540146
18  Proposed      0         2  98.248175  97.652133  99.428159  98.540146
30  Proposed      0         3  99.124088  97.652133  99.428159  98.540146
42  Proposed      0         4  99.416058  97.652133  99.428159  98.540146
54  Proposed      0         5  97.664234  97.652133  99.428159  98.540146
7   Proposed      5         1  71.970803  72.959755  83.011048  77.985401
19  Proposed      5         2  76.642336  72.959755  83.011048  77.985401
31  Proposed      5         3  81.313869  72.959755  83.011048  77.985401
43  Proposed      5         4  77.956204  72.959755  83.011048  77.985401
55  Proposed      5         5  82.043796  72.959755  83.011048  77.985401
8   Proposed     10         1  14.452555  17.515134  34.689246  26.102190
20  Proposed     10         2  27.007299  17.515134  34.689246  26.102190
32  Proposed     10         3  32.846715  17.515134  34.689246  26.102190
44  Proposed     10         4  28.905109  17.515134  34.689246  26.102190
56  Proposed     10         5  27.299270  17.515134  34.689246  26.102190
9   Proposed     15         1   3.649635   2.426211   9.661380   6.043796
21  Proposed     15         2   8.613139   2.426211   9.661380   6.043796
33  Proposed     15         3   4.087591   2.426211   9.661380   6.043796
45  Proposed     15         4   9.781022   2.426211   9.661380   6.043796
57  Proposed     15         5   4.087591   2.426211   9.661380   6.043796
10  Proposed     20         1   4.671533   1.590601   5.183122   3.386861
22  Proposed     20         2   3.941606   1.590601   5.183122   3.386861
34  Proposed     20         3   1.313869   1.590601   5.183122   3.386861
46  Proposed     20         4   4.525547   1.590601   5.183122   3.386861
58  Proposed     20         5   2.481752   1.590601   5.183122   3.386861
11  Proposed     25         1   0.729927   0.522459   1.170972   0.846715
23  Proposed     25         2   1.021898   0.522459   1.170972   0.846715
35  Proposed     25         3   1.021898   0.522459   1.170972   0.846715
47  Proposed     25         4   1.021898   0.522459   1.170972   0.846715
59  Proposed     25         5   0.437956   0.522459   1.170972   0.846715

socfb-Bowdoin47
        type  noise iteration    accuracy   ci_lower   ci_upper    avg acc
0   Original      0         1   99.822380  99.697206  99.840983  99.769094
12  Original      0         2   99.689165  99.697206  99.840983  99.769094
24  Original      0         3   99.733570  99.697206  99.840983  99.769094
36  Original      0         4   99.777975  99.697206  99.840983  99.769094
48  Original      0         5   99.822380  99.697206  99.840983  99.769094
1   Original      5         1   46.003552  45.483750  48.637031  47.060391
13  Original      5         2   47.824156  45.483750  48.637031  47.060391
25  Original      5         3   48.357016  45.483750  48.637031  47.060391
37  Original      5         4   45.426288  45.483750  48.637031  47.060391
49  Original      5         5   47.690941  45.483750  48.637031  47.060391
2   Original     10         1    4.706927   4.106577   8.131434   6.119005
14  Original     10         2    4.618117   4.106577   8.131434   6.119005
26  Original     10         3    7.637655   4.106577   8.131434   6.119005
38  Original     10         4    5.595027   4.106577   8.131434   6.119005
50  Original     10         5    8.037300   4.106577   8.131434   6.119005
3   Original     15         1    3.374778   2.481282   3.344650   2.912966
15  Original     15         2    3.063943   2.481282   3.344650   2.912966
27  Original     15         3    2.975133   2.481282   3.344650   2.912966
39  Original     15         4    2.664298   2.481282   3.344650   2.912966
51  Original     15         5    2.486679   2.481282   3.344650   2.912966
4   Original     20         1    1.287744   1.065099   1.350531   1.207815
16  Original     20         2    1.332149   1.065099   1.350531   1.207815
28  Original     20         3    1.065719   1.065099   1.350531   1.207815
40  Original     20         4    1.110124   1.065099   1.350531   1.207815
52  Original     20         5    1.243339   1.065099   1.350531   1.207815
5   Original     25         1    1.687389   0.685765   1.570007   1.127886
17  Original     25         2    0.799290   0.685765   1.570007   1.127886
29  Original     25         3    1.110124   0.685765   1.570007   1.127886
41  Original     25         4    1.198934   0.685765   1.570007   1.127886
53  Original     25         5    0.843694   0.685765   1.570007   1.127886
6   Proposed      0         1   99.733570  99.622027  99.933923  99.777975
18  Proposed      0         2   99.733570  99.622027  99.933923  99.777975
30  Proposed      0         3   99.733570  99.622027  99.933923  99.777975
42  Proposed      0         4  100.000000  99.622027  99.933923  99.777975
54  Proposed      0         5   99.689165  99.622027  99.933923  99.777975
7   Proposed      5         1   99.644760  99.452537  99.979079  99.715808
19  Proposed      5         2   99.378330  99.452537  99.979079  99.715808
31  Proposed      5         3   99.822380  99.452537  99.979079  99.715808
43  Proposed      5         4   99.911190  99.452537  99.979079  99.715808
55  Proposed      5         5   99.822380  99.452537  99.979079  99.715808
8   Proposed     10         1   43.916519  44.171571  60.144592  52.158082
20  Proposed     10         2   49.555950  44.171571  60.144592  52.158082
32  Proposed     10         3   58.525755  44.171571  60.144592  52.158082
44  Proposed     10         4   49.911190  44.171571  60.144592  52.158082
56  Proposed     10         5   58.880995  44.171571  60.144592  52.158082
9   Proposed     15         1   16.607460  13.368846  17.075203  15.222025
21  Proposed     15         2   15.364121  13.368846  17.075203  15.222025
33  Proposed     15         3   13.587922  13.368846  17.075203  15.222025
45  Proposed     15         4   16.740675  13.368846  17.075203  15.222025
57  Proposed     15         5   13.809947  13.368846  17.075203  15.222025
10  Proposed     20         1    5.150977   4.883519   5.880247   5.381883
