

inf-power
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
47  Proposed     25         4   1.459854   1.102607   2.342649   1.722628
59  Proposed     25         5   1.605839   1.102607   2.342649   1.722628

socfb-Bowdoin47
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
0   Original      0         1  99.777975  99.703477  99.887997  99.795737
12  Original      0         2  99.911190  99.703477  99.887997  99.795737
24  Original      0         3  99.733570  99.703477  99.887997  99.795737
36  Original      0         4  99.822380  99.703477  99.887997  99.795737
48  Original      0         5  99.733570  99.703477  99.887997  99.795737
1   Original      5         1  24.555950  23.590178  27.084778  25.337478
13  Original      5         2  23.490231  23.590178  27.084778  25.337478
25  Original      5         3  26.465364  23.590178  27.084778  25.337478
37  Original      5         4  25.222025  23.590178  27.084778  25.337478
49  Original      5         5  26.953819  23.590178  27.084778  25.337478
2   Original     10         1   8.348135   6.769970   8.167863   7.468917
14  Original     10         2   7.149201   6.769970   8.167863   7.468917
26  Original     10         3   7.682060   6.769970   8.167863   7.468917
38  Original     10         4   6.927176   6.769970   8.167863   7.468917
50  Original     10         5   7.238011   6.769970   8.167863   7.468917
3   Original     15         1   3.507993   2.358167   3.396717   2.877442
15  Original     15         2   2.930728   2.358167   3.396717   2.877442
27  Original     15         3   2.619893   2.358167   3.396717   2.877442
39  Original     15         4   2.397869   2.358167   3.396717   2.877442
51  Original     15         5   2.930728   2.358167   3.396717   2.877442
4   Original     20         1   1.287744   1.047938   1.349931   1.198934
16  Original     20         2   1.021314   1.047938   1.349931   1.198934
28  Original     20         3   1.198934   1.047938   1.349931   1.198934
40  Original     20         4   1.332149   1.047938   1.349931   1.198934
52  Original     20         5   1.154529   1.047938   1.349931   1.198934
5   Original     25         1   0.754885   0.442234   0.872154   0.657194
17  Original     25         2   0.399645   0.442234   0.872154   0.657194
29  Original     25         3   0.577265   0.442234   0.872154   0.657194
41  Original     25         4   0.710480   0.442234   0.872154   0.657194
53  Original     25         5   0.843694   0.442234   0.872154   0.657194
6   Proposed      0         1  99.777975  99.722839  99.833111  99.777975
18  Proposed      0         2  99.822380  99.722839  99.833111  99.777975
30  Proposed      0         3  99.733570  99.722839  99.833111  99.777975
42  Proposed      0         4  99.822380  99.722839  99.833111  99.777975
54  Proposed      0         5  99.733570  99.722839  99.833111  99.777975
7   Proposed      5         1  38.410302  36.318067  40.626871  38.472469
19  Proposed      5         2  36.190053  36.318067  40.626871  38.472469
31  Proposed      5         3  40.053286  36.318067  40.626871  38.472469
43  Proposed      5         4  37.433393  36.318067  40.626871  38.472469
55  Proposed      5         5  40.275311  36.318067  40.626871  38.472469
8   Proposed     10         1  10.968028   9.966245  11.454714  10.710480
20  Proposed     10         2  10.612789   9.966245  11.454714  10.710480
32  Proposed     10         3  11.278863   9.966245  11.454714  10.710480
44  Proposed     10         4  10.968028   9.966245  11.454714  10.710480
56  Proposed     10         5   9.724689   9.966245  11.454714  10.710480
9   Proposed     15         1   4.307282   3.238558   4.274764   3.756661
21  Proposed     15         2   3.197158   3.238558   4.274764   3.756661
33  Proposed     15         3   3.952043   3.238558   4.274764   3.756661
45  Proposed     15         4   3.774423   3.238558   4.274764   3.756661
57  Proposed     15         5   3.552398   3.238558   4.274764   3.756661
10  Proposed     20         1   0.976909   0.897174   1.891459   1.394316
22  Proposed     20         2   1.776199   0.897174   1.891459   1.394316
34  Proposed     20         3   1.376554   0.897174   1.891459   1.394316
46  Proposed     20         4   1.021314   0.897174   1.891459   1.394316
58  Proposed     20         5   1.820604   0.897174   1.891459   1.394316
11  Proposed     25         1   0.888099   0.575386   0.969907   0.772647
23  Proposed     25         2   0.710480   0.575386   0.969907   0.772647
35  Proposed     25         3   0.976909   0.575386   0.969907   0.772647
47  Proposed     25         4   0.710480   0.575386   0.969907   0.772647
59  Proposed     25         5   0.577265   0.575386   0.969907   0.772647

bio-yeast
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
0   Original      0         1  58.504801  58.075337  58.632482  58.353909
12  Original      0         2  58.230453  58.075337  58.632482  58.353909
24  Original      0         3  58.024691  58.075337  58.632482  58.353909
36  Original      0         4  58.573388  58.075337  58.632482  58.353909
48  Original      0         5  58.436214  58.075337  58.632482  58.353909
1   Original      5         1  45.816187  42.109159  48.151472  45.130316
13  Original      5         2  49.108368  42.109159  48.151472  45.130316
25  Original      5         3  43.689986  42.109159  48.151472  45.130316
37  Original      5         4  43.758573  42.109159  48.151472  45.130316
49  Original      5         5  43.278464  42.109159  48.151472  45.130316
2   Original     10         1  35.253772  33.001465  36.710469  34.855967
14  Original     10         2  34.842250  33.001465  36.710469  34.855967
26  Original     10         3  32.373114  33.001465  36.710469  34.855967
38  Original     10         4  36.351166  33.001465  36.710469  34.855967
50  Original     10         5  35.459534  33.001465  36.710469  34.855967
3   Original     15         1  24.485597  22.022420  26.564685  24.293553
15  Original     15         2  25.925926  22.022420  26.564685  24.293553
27  Original     15         3  25.514403  22.022420  26.564685  24.293553
39  Original     15         4  21.262003  22.022420  26.564685  24.293553
51  Original     15         5  24.279835  22.022420  26.564685  24.293553
4   Original     20         1  19.341564  15.077252  20.149085  17.613169
16  Original     20         2  14.403292  15.077252  20.149085  17.613169
28  Original     20         3  18.998628  15.077252  20.149085  17.613169
40  Original     20         4  16.803841  15.077252  20.149085  17.613169
52  Original     20         5  18.518519  15.077252  20.149085  17.613169
5   Original     25         1  13.237311  12.318592  15.637512  13.978052
17  Original     25         2  13.443073  12.318592  15.637512  13.978052
29  Original     25         3  15.020576  12.318592  15.637512  13.978052
41  Original     25         4  12.482853  12.318592  15.637512  13.978052
53  Original     25         5  15.706447  12.318592  15.637512  13.978052
6   Proposed      0         1  58.984911  58.603525  59.256558  58.930041
18  Proposed      0         2  59.259259  58.603525  59.256558  58.930041
30  Proposed      0         3  58.573388  58.603525  59.256558  58.930041
42  Proposed      0         4  59.053498  58.603525  59.256558  58.930041
54  Proposed      0         5  58.779150  58.603525  59.256558  58.930041
7   Proposed      5         1  43.278464  41.788284  46.716517  44.252401
19  Proposed      5         2  47.668038  41.788284  46.716517  44.252401
31  Proposed      5         3  42.729767  41.788284  46.716517  44.252401
43  Proposed      5         4  43.347051  41.788284  46.716517  44.252401
55  Proposed      5         5  44.238683  41.788284  46.716517  44.252401
8   Proposed     10         1  29.561043  28.464205  32.715493  30.589849
20  Proposed     10         2  31.207133  28.464205  32.715493  30.589849
32  Proposed     10         3  29.286694  28.464205  32.715493  30.589849
44  Proposed     10         4  33.333333  28.464205  32.715493  30.589849
56  Proposed     10         5  29.561043  28.464205  32.715493  30.589849
9   Proposed     15         1  20.438957  19.013862  23.043751  21.028807
21  Proposed     15         2  22.633745  19.013862  23.043751  21.028807
33  Proposed     15         3  22.839506  19.013862  23.043751  21.028807
45  Proposed     15         4  19.204390  19.013862  23.043751  21.028807
57  Proposed     15         5  20.027435  19.013862  23.043751  21.028807
10  Proposed     20         1  16.735254  11.533031  15.929246  13.731139
22  Proposed     20         2  12.894376  11.533031  15.929246  13.731139
34  Proposed     20         3  13.786008  11.533031  15.929246  13.731139
46  Proposed     20         4  12.208505  11.533031  15.929246  13.731139
58  Proposed     20         5  13.031550  11.533031  15.929246  13.731139
11  Proposed     25         1   9.396433   9.155397  13.149129  11.152263
23  Proposed     25         2  12.894376   9.155397  13.149129  11.152263
35  Proposed     25         3  11.385460   9.155397  13.149129  11.152263
47  Proposed     25         4   9.602195   9.155397  13.149129  11.152263
59  Proposed     25         5  12.482853   9.155397  13.149129  11.152263

DD_g501
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
0   Original      0         1  84.382284  84.753363  88.113769  86.433566
12  Original      0         2  85.780886  84.753363  88.113769  86.433566
24  Original      0         3  87.412587  84.753363  88.113769  86.433566
36  Original      0         4  87.645688  84.753363  88.113769  86.433566
48  Original      0         5  86.946387  84.753363  88.113769  86.433566
1   Original      5         1  26.573427  23.781668  43.817400  33.799534
13  Original      5         2  34.498834  23.781668  43.817400  33.799534
25  Original      5         3  39.160839  23.781668  43.817400  33.799534
37  Original      5         4  43.822844  23.781668  43.817400  33.799534
49  Original      5         5  24.941725  23.781668  43.817400  33.799534
2   Original     10         1  14.918415   8.182337  18.670810  13.426573
14  Original     10         2  16.783217   8.182337  18.670810  13.426573
26  Original     10         3  14.219114   8.182337  18.670810  13.426573
38  Original     10         4  15.151515   8.182337  18.670810  13.426573
50  Original     10         5   6.060606   8.182337  18.670810  13.426573
3   Original     15         1   5.827506   3.443822   8.117950   5.780886
15  Original     15         2   3.962704   3.443822   8.117950   5.780886
27  Original     15         3   4.195804   3.443822   8.117950   5.780886
39  Original     15         4   6.293706   3.443822   8.117950   5.780886
51  Original     15         5   8.624709   3.443822   8.117950   5.780886
4   Original     20         1   1.165501   1.146067   2.863257   2.004662
16  Original     20         2   2.331002   1.146067   2.863257   2.004662
28  Original     20         3   2.797203   1.146067   2.863257   2.004662
40  Original     20         4   2.331002   1.146067   2.863257   2.004662
52  Original     20         5   1.398601   1.146067   2.863257   2.004662
5   Original     25         1   0.233100  -0.557930   2.236252   0.839161
17  Original     25         2   0.699301  -0.557930   2.236252   0.839161
29  Original     25         3   0.466200  -0.557930   2.236252   0.839161
41  Original     25         4   2.797203  -0.557930   2.236252   0.839161
53  Original     25         5   0.000000  -0.557930   2.236252   0.839161
6   Proposed      0         1  98.135198  97.186998  98.803678  97.995338
18  Proposed      0         2  97.435897  97.186998  98.803678  97.995338
30  Proposed      0         3  97.668998  97.186998  98.803678  97.995338
42  Proposed      0         4  99.067599  97.186998  98.803678  97.995338
54  Proposed      0         5  97.668998  97.186998  98.803678  97.995338
7   Proposed      5         1  38.694639  38.105783  57.465312  47.785548
19  Proposed      5         2  55.011655  38.105783  57.465312  47.785548
31  Proposed      5         3  45.920746  38.105783  57.465312  47.785548
43  Proposed      5         4  56.643357  38.105783  57.465312  47.785548
55  Proposed      5         5  42.657343  38.105783  57.465312  47.785548
8   Proposed     10         1  20.512821  14.750807  27.580196  21.165501
20  Proposed     10         2  25.174825  14.750807  27.580196  21.165501
32  Proposed     10         3  20.979021  14.750807  27.580196  21.165501
44  Proposed     10         4  26.107226  14.750807  27.580196  21.165501
56  Proposed     10         5  13.053613  14.750807  27.580196  21.165501
9   Proposed     15         1   8.624709   8.065719  11.514701   9.790210
21  Proposed     15         2   8.857809   8.065719  11.514701   9.790210
33  Proposed     15         3   9.790210   8.065719  11.514701   9.790210
45  Proposed     15         4   9.557110   8.065719  11.514701   9.790210
57  Proposed     15         5  12.121212   8.065719  11.514701   9.790210
10  Proposed     20         1   5.128205   2.356706   5.102501   3.729604
22  Proposed     20         2   2.331002   2.356706   5.102501   3.729604
34  Proposed     20         3   4.428904   2.356706   5.102501   3.729604
46  Proposed     20         4   3.030303   2.356706   5.102501   3.729604
58  Proposed     20         5   3.729604   2.356706   5.102501   3.729604
11  Proposed     25         1   2.331002   1.294372   3.274393   2.284382
23  Proposed     25         2   3.030303   1.294372   3.274393   2.284382
35  Proposed     25         3   0.932401   1.294372   3.274393   2.284382
47  Proposed     25         4   2.564103   1.294372   3.274393   2.284382
59  Proposed     25         5   2.564103   1.294372   3.274393   2.284382
